schoolID,blgID,blgName,"w decimal (2,2)","h decimal (2,2)",w/tot w,h/tot h
1,,Recycling Center,735,123,0.5806,0.1669
1,,Ricchutti Center,,,0.0000,0.0000
1,,Rodeo Grounds,984,347,0.7773,0.4708
,,Round-up Laboratory Unit,,,0.0000,0.0000
,,Satellite Student Union (SSU),644,325,0.5087,0.4410
,,Save Mart Center (SMC),1161,650,0.9171,0.8820
,,Science (S),733,309,0.5790,0.4193
1,,Science II (S2),762,197,0.6019,0.2673
1,,Sequoia / Cedar Hall (SCH),271,684,0.2141,0.9281
1,,Sheep Unit,1039,139,0.8207,0.1886
1,,Shipping and Receiving,902,127,0.7125,0.1723
1,,Smittcamp Alumni House (SAH),790,611,0.6240,0.8290
1,,Social Science (SS),263,285,0.2077,0.3867
1,,South Gym (SG),190,401,0.1501,0.5441
1,,Speech Arts (SA),547,458,0.4321,0.6214
1,,Student Health Center (HC),360,654,0.2844,0.8874
1,,Student Horse Center (HRS),991,273,0.7828,0.3704
1,,Student Recreation Center (STRC),1013,633,0.8002,0.0000
1,,Student Services,,,,
1,,Students,,,,
1,,Swine Unit,,,0.0000,0.0000
1,,Sycamore Hall (SH),296,588,0.2338,0.7978
1,,Terrain,,,,
1,,The Atrium (RH),260,603,0.2054,0.8182
1,,The Bulldog Shop,,,0.0000,0.0000
1,,Thomas (TAD),583,378,0.4605,0.5129
1,,University Business Center (UBC),788,352,0.6224,0.4776
1,,University Center (UC),,,0.0000,0.0000
1,,University Dining Hall (RDF),224,490,0.1769,0.6649
1,,University High School (UHS),713,590,0.5632,0.8005
1,,University Student Union (USU),413,377,0.3262,0.5115
1,,Veterinary Unit,,,0.0000,0.0000
1,,Viticulture and Enology Research Center,477,44,0.3768,0.0597
1,,Viticulture Enology East,539,59,0.4258,0.0801
1,,Warmerdam Field,66,309,0.0521,0.4193
1,,WET Lab,1202,137,0.9494,0.1859
,,,,,,
,,,,,,
